17,0,SAL,-0.374,-0.263,-0.253,-0.262,-0.128,-0.018,-0.036,-0.092,-0.15,-0.063,0.025,0.105,0.139,0.218,0.183,0.15,0.066,-0.002,-0.09,-0.139,-0.035,0.072,0.124,0.119,0.149,0.1,0.095,0.059,-0.027,0.025,0.056,0.197,0.222,0.277,0.218,0.166,0.116,0.097,0.035,0.015,0.05,0.125,0.208,0.274,0.186,0.118,0.067,0.046,0.024,0.258,0.417,0.638,0.68,0.711,0.592,0.466,0.321,0.252,0.289,0.307,0.357,0.388,0.318,0.18,0.024,-0.02,0.065,0.021,0.041,0.116,0.218,0.257,0.175,0.162,0.087,0.046,0.01,0.049,0.117,0.245
28,0,SAL,-0.195,-0.176,-0.151,0.002,0.051,0.136,0.077,0.018,-0.06,-0.07,-0.113,-0.045,-0.031,0.037,0.168,0.155,0.258,0.203,0.184,0.099,0.14,0.24,0.379,0.417,0.493,0.451,0.415,0.37,0.415,0.372,0.423,0.479,0.552,0.544,0.517,0.48,0.404,0.391,0.268,0.316,0.361,0.542,0.567,0.576,0.554,0.447,0.412,0.365,0.386,0.467,0.581,0.775,0.84,0.734,0.626,0.527,0.477,0.504,0.446,0.563,0.581,0.647,0.539,0.454,0.374,0.323,0.261,0.296,0.353,0.413,0.507,0.517,0.531,0.398,0.359,0.224,0.226,0.214,0.337,0.482
29,0,SAL,-0.212,-0.136,-0.102,-0.096,-0.11,-0.09,-0.01,-0.022,0,-0.038,-0.002,0.044,0.086,0.141,0.139,0.036,0.027,0.057,0.019,0.066,0.106,0.163,0.237,0.291,0.288,0.244,0.187,0.192,0.168,0.258,0.314,0.372,0.402,0.376,0.287,0.214,0.193,0.214,0.128,0.186,0.209,0.328,0.316,0.332,0.28,0.194,0.17,0.14,0.197,0.33,0.514,0.699,0.72,0.738,0.664,0.537,0.432,0.341,0.318,0.36,0.496,0.542,0.493,0.353,0.188,0.198,0.204,0.197,0.163,0.175,0.295,0.315,0.369,0.258,0.16,0.059,0.123,0.23,0.301,0.248
33,0,SAL,-0.394,-0.322,-0.254,-0.257,-0.239,-0.151,-0.109,-0.12,-0.094,-0.007,0.093,0.176,0.196,0.254,0.3,0.218,0.177,0.127,0.061,-0.021,-0.028,0.098,0.212,0.298,0.227,0.154,0.132,0.114,0.119,0.136,0.115,0.272,0.44,0.443,0.304,0.18,0.128,0.151,0.09,0.159,0.154,0.332,0.338,0.386,0.298,0.224,0.118,0.12,0.182,0.382,0.612,0.895,1.004,0.989,0.87,0.675,0.498,0.373,0.352,0.378,0.418,0.436,0.383,0.182,0.1,0.011,0.004,0.028,0.118,0.163,0.174,0.198,0.23,0.144,0.098,-0.008,0.045,-0.006,0.134,0.37
35,0,SAL,-0.323,-0.241,-0.204,-0.129,-0.106,0.019,0.02,-0.045,-0.057,-0.043,0.005,0.022,0.085,0.099,0.128,0.124,0.104,0.019,-0.074,-0.13,-0.056,0.06,0.185,0.25,0.282,0.201,0.184,0.131,0.172,0.209,0.247,0.29,0.245,0.289,0.273,0.291,0.263,0.204,0.121,0.14,0.202,0.36,0.364,0.375,0.344,0.234,0.165,0.11,0.159,0.333,0.461,0.553,0.616,0.616,0.486,0.393,0.307,0.257,0.262,0.333,0.416,0.409,0.386,0.249,0.179,0.154,0.114,0.18,0.194,0.239,0.246,0.304,0.261,0.28,0.199,0.203,0.119,0.144,0.21,0.323
36,0,SAL,-0.297,-0.268,-0.274,-0.18,-0.047,0.038,0.003,-0.068,-0.104,-0.033,0.016,0.014,0.008,0.173,0.285,0.224,0.156,0.125,0.111,0.084,0.147,0.225,0.372,0.419,0.396,0.301,0.35,0.372,0.452,0.441,0.46,0.498,0.524,0.506,0.435,0.439,0.422,0.359,0.214,0.174,0.321,0.468,0.547,0.555,0.462,0.337,0.292,0.245,0.282,0.389,0.68,0.958,1.056,0.952,0.776,0.594,0.484,0.401,0.457,0.429,0.568,0.518,0.523,0.33,0.211,0.136,0.195,0.218,0.319,0.331,0.29,0.376,0.377,0.269,0.138,0.028,0.076,0.058,0.165,0.334
38,0,SAL,-0.203,-0.21,-0.277,-0.223,-0.197,0.027,0.032,0.042,0,-0.029,-0.04,-0.006,0.05,0.121,0.208,0.224,0.245,0.114,0.1,-0.042,0.082,0.151,0.293,0.277,0.332,0.258,0.256,0.199,0.207,0.19,0.188,0.243,0.373,0.445,0.411,0.314,0.273,0.219,0.132,0.166,0.225,0.422,0.406,0.427,0.368,0.261,0.287,0.211,0.249,0.348,0.52,0.752,0.87,0.819,0.74,0.554,0.469,0.363,0.45,0.431,0.486,0.588,0.427,0.319,0.255,0.226,0.237,0.184,0.131,0.164,0.216,0.344,0.373,0.325,0.189,0.096,0.108,0.08,0.184,0.23
42,0,SAL,-0.223,-0.177,-0.203,-0.135,-0.021,0.018,-0.002,0.017,-0.04,-0.041,-0.07,-0.042,0.037,0.144,0.258,0.246,0.284,0.246,0.189,0.165,0.237,0.346,0.432,0.436,0.443,0.35,0.303,0.333,0.401,0.379,0.397,0.453,0.563,0.583,0.533,0.529,0.508,0.472,0.404,0.363,0.352,0.394,0.423,0.424,0.357,0.301,0.39,0.29,0.332,0.425,0.594,0.82,0.777,0.919,0.862,0.703,0.571,0.51,0.552,0.538,0.573,0.556,0.477,0.281,0.194,0.189,0.188,0.111,0.173,0.181,0.244,0.305,0.323,0.18,0.004,-0.061,-0.017,0.077,0.215,0.357
47,0,SAL,-0.333,-0.22,-0.194,-0.205,-0.183,-0.039,-0.044,-0.029,-0.071,-0.003,0.018,0.064,0.113,0.175,0.217,0.217,0.258,0.22,0.199,0.185,0.182,0.303,0.362,0.448,0.402,0.408,0.355,0.427,0.427,0.467,0.379,0.481,0.521,0.554,0.487,0.477,0.425,0.386,0.334,0.334,0.257,0.334,0.405,0.493,0.413,0.26,0.217,0.154,0.244,0.401,0.644,0.774,0.878,0.85,0.757,0.65,0.549,0.461,0.459,0.438,0.611,0.65,0.575,0.358,0.275,0.187,0.215,0.144,0.292,0.364,0.369,0.396,0.444,0.336,0.208,0.109,0.094,0.034,0.176,0.471
48,0,SAL,-0.278,-0.21,-0.245,-0.211,-0.182,-0.059,-0.019,-0.004,-0.058,-0.044,-0.011,0.077,0.11,0.189,0.255,0.17,0.155,0.122,0.163,0.077,0.138,0.219,0.317,0.312,0.29,0.246,0.191,0.232,0.186,0.239,0.28,0.405,0.476,0.542,0.429,0.282,0.243,0.28,0.207,0.24,0.148,0.287,0.211,0.345,0.284,0.197,0.109,0.015,0.08,0.322,0.498,0.753,0.846,0.852,0.779,0.596,0.461,0.26,0.302,0.293,0.423,0.496,0.505,0.336,0.226,0.128,0.086,0.093,0.119,0.197,0.317,0.41,0.406,0.244,0.166,-0.004,0.032,0.032,0.263,0.335
