17,0,SAL,-0.237,-0.268,-0.294,-0.276,-0.231,-0.258,-0.36,-0.263,-0.003,0.302,0.399,0.163,0.038,0.038,0.174,-0.038,-0.069,0.22,0.211,0.175,0.106,0.47,0.762,0.711,0.419,0.152,0.225,0.386,0.441,0.185,0.142,0.392,0.335,0.079,0.069,0.434,0.541,0.299,0.238,0.18,0.168,0.261,0.305,0.553,0.358,0.489,0.237,0.038,-0.056,-0.01,0.07,-0.091,-0.065,-0.344,-0.335,-0.461,-0.272,-0.283,-0.143,-0.257,-0.333,-0.462,-0.235,-0.103,-0.013,-0.119,0.18,0.271,0.206,-0.109,-0.373,-0.326,-0.238,0.173,0.135,-0.109,-0.319,-0.282,-0.341,-0.43
28,0,SAL,-0.349,-0.362,-0.376,-0.372,-0.299,-0.465,-0.365,-0.155,0.171,0.365,0.459,0.264,0.013,-0.112,0.124,0.123,0.168,0.467,0.528,0.324,0.266,0.417,0.64,0.556,0.4,0.22,0.273,0.302,0.333,0.185,0.22,0.406,0.405,0.151,0.17,0.757,0.875,0.633,0.54,0.424,0.356,0.49,0.591,0.665,0.468,0.599,0.383,0.164,0.112,0.289,0.379,0.253,0.222,-0.068,-0.123,-0.221,0.008,0.039,0.12,0.035,-0.19,-0.391,-0.311,0.108,0.229,0.206,0.399,0.419,0.234,-0.07,-0.105,0.012,0.089,0.328,0.244,-0.089,-0.099,0.033,0.034,-0.133
29,0,SAL,-0.458,-0.122,0.06,0.062,0.162,0.012,-0.167,-0.284,0.02,0.219,0.28,-0.065,-0.159,-0.082,0.064,-0.182,-0.354,0.075,0.141,-0.151,-0.356,-0.095,0.207,0.228,0.021,-0.274,-0.118,0.093,0.145,-0.056,-0.172,0.124,0.143,-0.054,-0.044,0.467,0.675,0.547,0.565,0.572,0.756,0.956,0.974,0.937,0.552,0.41,0.092,-0.147,-0.197,-0.287,-0.301,-0.575,-0.441,-0.703,-0.739,-0.844,-0.632,-0.601,-0.482,-0.614,-0.673,-0.77,-0.615,-0.382,-0.234,-0.365,-0.092,0.049,0.043,-0.235,-0.363,-0.329,-0.274,0.117,0.058,-0.1,-0.431,-0.297,-0.41,-0.523
33,0,SAL,-0.177,-0.231,-0.268,-0.258,-0.28,-0.319,-0.252,-0.122,0.04,0.3,0.359,0.132,0.029,-0.042,0.155,0.151,0.153,0.326,0.289,0.084,0.036,0.282,0.445,0.343,0.31,0.085,0.071,0.097,0.109,-0.003,0.005,0.153,0.167,0.019,-0.004,0.236,0.286,0.211,0.14,0.082,-0.052,0.108,0.212,0.304,0.129,0.281,0.14,-0.036,-0.101,0.135,0.222,0.195,0.203,0.013,-0.127,-0.228,-0.129,-0.077,0.038,0.028,-0.062,-0.162,-0.174,-0.04,0.066,0.045,0.235,0.183,0.089,-0.167,-0.269,-0.167,-0.051,0.192,0.119,-0.156,-0.249,-0.145,-0.105,-0.176
35,0,SAL,-0.36,-0.324,-0.337,-0.283,-0.151,-0.296,-0.382,-0.372,-0.057,0.359,0.467,0.165,0.018,0.078,0.171,-0.117,-0.151,0.323,0.386,0.226,0.33,0.874,1.409,1.401,0.991,0.756,0.862,1.182,1.355,1.35,1.412,1.706,1.665,1.476,1.534,2.394,2.457,2.037,2.011,1.963,1.877,1.927,2.086,2.221,1.781,1.608,1.236,1.004,0.966,0.996,1.08,0.757,0.714,0.307,0.056,-0.145,0.109,0.042,0.058,-0.084,-0.187,-0.377,-0.346,0.037,0.226,0.057,0.317,0.449,0.44,0.065,-0.109,0.057,0.118,0.559,0.54,0.75,0.621,0.693,0.422,0.183
36,0,SAL,0,-0.1,-0.074,-0.116,-0.333,-0.446,-0.338,0.055,0.281,0.173,0.233,0.08,-0.026,0.007,0.312,0.393,0.46,0.595,0.542,0.611,0.73,0.854,0.829,0.689,0.632,0.56,0.499,0.37,0.517,0.643,0.67,0.629,0.549,0.423,0.544,0.845,0.961,0.7,0.87,0.861,0.837,0.748,0.847,0.966,0.994,1.063,0.846,0.554,0.484,0.701,0.768,0.802,0.791,0.7,0.646,0.73,0.961,0.92,0.702,0.586,0.497,0.317,0.386,0.714,0.794,0.798,0.834,0.794,0.61,0.457,0.629,0.747,0.736,0.794,0.771,0.6,0.538,0.443,0.491,0.581
38,0,SAL,-0.196,-0.17,-0.185,-0.323,-0.26,-0.295,-0.352,-0.231,0.105,0.346,0.38,0.163,0.074,0.036,0.035,-0.162,-0.335,-0.117,-0.111,-0.125,-0.068,0.224,0.66,0.781,0.682,0.282,0.299,0.554,0.678,0.538,0.479,0.638,0.687,0.637,0.691,1.006,1.109,0.93,1.012,1.205,1.404,1.727,1.845,1.863,1.384,1.029,0.52,0.147,-0.024,-0.023,0.019,-0.15,-0.167,-0.387,-0.454,-0.526,-0.391,-0.412,-0.319,-0.221,-0.199,-0.219,-0.047,0.228,0.295,0.169,0.439,0.737,0.837,0.69,0.759,0.903,0.982,1.229,1.018,0.798,0.408,0.203,0.029,-0.07
42,0,SAL,-0.128,-0.046,-0.067,-0.154,-0.366,-0.407,-0.415,-0.005,0.194,0.29,0.293,0.087,-0.07,0.066,0.333,0.288,0.278,0.44,0.432,0.405,0.558,0.72,0.947,0.798,0.591,0.403,0.432,0.475,0.588,0.682,0.765,0.988,0.865,0.691,0.957,1.415,1.609,1.23,1.407,1.311,1.346,1.326,1.405,1.511,1.438,1.518,1.198,0.796,0.641,0.817,0.973,1.126,1.208,0.982,0.79,0.757,0.856,0.761,0.626,0.577,0.496,0.315,0.337,0.691,0.803,0.77,0.944,1.048,0.917,0.726,0.724,0.885,0.825,0.877,0.811,0.608,0.476,0.506,0.608,0.879
47,0,SAL,-0.138,0.154,0.132,-0.071,-0.347,-0.344,-0.271,0.089,0.297,0.282,0.253,0.132,-0.083,-0.052,0.043,0.16,0.306,0.446,0.469,0.697,1.021,1.291,1.328,1.257,1.2,1.151,1.109,1.183,1.25,1.583,1.838,2.061,1.879,1.857,2.402,2.797,2.819,2.455,2.557,2.314,1.959,1.85,2.04,2.153,1.887,1.648,1.211,1.057,1.083,1.244,1.304,1.475,1.499,1.2,0.837,0.71,0.877,0.768,0.602,0.593,0.438,0.31,0.205,0.352,0.384,0.301,0.453,0.412,0.389,0.242,0.379,0.498,0.487,0.447,0.448,0.506,0.553,0.692,0.685,0.774
48,0,SAL,-0.179,-0.025,-0.016,-0.052,-0.352,-0.339,-0.275,-0.029,0.287,0.123,0.175,0.145,0.121,0.057,0.09,0.169,0.27,0.473,0.635,1.204,1.709,1.913,1.795,1.69,1.703,1.574,1.547,1.409,1.497,1.723,1.767,1.622,1.298,1.164,1.419,1.723,1.774,1.577,1.791,1.782,1.803,1.908,2.148,2.415,2.229,1.888,1.271,1.093,1.09,1.181,1.01,0.881,0.673,0.638,0.524,0.558,0.425,0.41,0.206,0.447,0.353,0.2,0.013,0.062,0.083,-0.019,0.142,0.14,0.202,0.366,0.631,0.804,0.873,0.951,0.854,0.974,0.933,0.765,0.656,0.665
52,0,SAL,-0.233,-0.288,-0.297,-0.254,-0.362,-0.393,-0.206,0.134,0.375,0.366,0.289,-0.003,-0.114,-0.127,0.042,0.161,0.42,0.732,0.819,0.79,0.794,0.851,0.948,0.849,0.861,0.637,0.449,0.379,0.453,0.377,0.351,0.41,0.346,0.22,0.218,0.28,0.413,0.196,0.28,0.223,0.35,0.381,0.589,0.667,0.604,0.679,0.498,0.302,0.152,0.48,0.52,0.63,0.503,0.284,0.168,0.084,0.179,0.241,0.247,0.317,0.186,0.005,0.014,0.193,0.32,0.286,0.367,0.224,0.026,-0.145,-0.039,0.124,0.176,0.325,0.154,0.124,0.038,0.113,0.099,0.12
17,1,SAL,-0.226,-0.252,-0.122,0.084,0.135,-0.117,-0.349,-0.41,-0.092,0.052,0.214,0.351,0.26,0.007,-0.05,-0.042,-0.174,-0.318,-0.185,0.11,0.19,0.147,0.192,0.279,0.232,0.297,0.123,-0.044,-0.214,-0.036,0.286,0.429,0.219,0.207,0.01,0.219,0.221,0.369,0.313,0.318,0.315,0.098,-0.161,-0.192,0.009,-0.035,-0.047,-0.241,-0.263,-0.244,0.173,0.373,0.512,0.425,0.375,0.082,0.037,0.113,0.212,0.218,0.03,-0.029,-0.2,-0.129,0.076,0.345,0.465,0.641,0.562,0.405,0.428,0.338,-0.106,-0.418,-0.266,0.071,0.122,-0.111,-0.084,0.079
28,1,SAL,-0.51,-0.416,-0.183,0.117,0.145,-0.135,-0.373,-0.384,-0.137,0.04,0.127,0.373,0.436,-0.011,-0.082,-0.062,-0.008,-0.174,-0.004,0.083,0.046,-0.108,0.01,0.214,0.172,0.208,0.05,-0.148,-0.248,-0.138,0.306,0.368,0.195,-0.148,-0.271,-0.244,0.044,0.089,0.125,0.126,0.13,-0.095,-0.275,-0.196,-0.086,-0.209,-0.274,-0.471,-0.437,-0.346,0.292,0.455,0.526,0.456,0.294,0.022,-0.167,0.04,0.115,0.147,0.031,-0.021,-0.21,-0.245,0.179,0.32,0.472,0.621,0.647,0.46,0.368,0.356,-0.073,-0.255,-0.079,0.092,0.116,-0.143,-0.091,0.078
29,1,SAL,0.06,-0.227,-0.175,0.115,0.155,-0.126,-0.423,-0.361,-0.191,0.027,0.191,0.498,0.445,0.015,-0.23,-0.227,-0.304,-0.293,-0.124,0.126,0.176,0.081,0.093,0.147,0.194,0.374,0.437,0.362,0.054,0.212,0.663,1.008,0.89,0.824,0.544,0.566,0.505,0.496,0.393,0.336,0.325,0.051,-0.149,-0.194,-0.089,-0.115,-0.115,-0.258,-0.313,-0.248,0.233,0.442,0.5,0.403,0.316,0.097,-0.008,0.188,0.38,0.331,0.129,0.016,-0.082,0.027,0.329,0.594,0.73,0.81,0.616,0.585,0.696,0.616,-0.014,-0.244,-0.064,0.285,0.282,0.036,-0.109,0.031
