17,0,SAL,0.415,0.134,-0.101,-0.099,-0.169,-0.099,-0.217,-0.145,-0.009,0.051,-0.042,-0.105,0.094,0.309,0.331,0.139,0.547,2.791,4.763,5.552,5.935,6.201,5.909,5.41,4.981,4.79,4.688,4.598,4.438,4.393,4.286,4.146,4.081,3.922,3.913,3.791,3.581,3.355,3.229,3.216,3.341,3.28,3.138,2.857,2.753,2.706,2.538,2.321,2.012,1.545,0.953,0.536,0.262,0.024,-0.197,-0.295,-0.454,-0.573,-0.638,-0.604,-0.635,-0.753,-0.709,-0.653,-0.528,-0.463,-0.609,-0.751,-0.776,-0.872,-0.822,-0.911,-0.859,-0.901,-0.978,-0.831,-0.704,-0.606,-0.668,-0.888
28,0,SAL,-0.01,0.112,0.28,0.331,0.414,0.208,0.191,-0.062,-0.029,-0.065,-0.211,-0.284,-0.158,-0.02,0.017,-0.002,0.659,3.982,5.862,6.801,7.205,7.518,7.359,6.857,6.377,6.112,6,5.856,5.729,5.542,5.317,5.245,5.084,5.13,4.994,4.937,4.803,4.594,4.439,4.309,4.343,4.228,4.065,3.915,3.81,3.801,3.701,3.581,3.314,2.699,1.916,1.432,1.022,0.723,0.482,0.271,0.054,-0.128,-0.229,-0.369,-0.399,-0.428,-0.375,-0.233,-0.165,-0.122,-0.196,-0.263,-0.38,-0.317,-0.309,-0.372,-0.618,-0.649,-0.751,-0.645,-0.591,-0.448,-0.473,-0.651
29,0,SAL,0.271,-0.008,-0.138,-0.109,-0.068,-0.012,0.057,0.108,0.109,0.018,-0.113,-0.089,-0.042,0.01,0.023,-0.055,0.327,1.213,1.59,1.738,1.77,1.93,1.678,1.27,1.051,0.834,0.79,0.76,0.675,0.676,0.603,0.576,0.595,0.615,0.722,0.691,0.645,0.537,0.403,0.403,0.4,0.483,0.457,0.382,0.373,0.336,0.387,0.364,0.223,0.135,-0.028,-0.113,-0.133,-0.084,-0.151,-0.292,-0.324,-0.442,-0.349,-0.299,-0.266,-0.3,-0.445,-0.362,-0.37,-0.399,-0.494,-0.609,-0.54,-0.52,-0.536,-0.603,-0.665,-0.608,-0.582,-0.575,-0.6,-0.549,-0.633,-0.819
33,0,SAL,0.162,0.316,0.228,0.313,0.328,0.282,0.176,0.032,-0.053,-0.118,-0.266,-0.307,-0.181,-0.003,0.109,0.07,0.596,2.865,3.48,3.936,3.943,3.985,3.334,2.565,2.221,2.01,1.984,1.661,1.404,1.269,1.23,1.257,1.235,1.268,1.28,1.271,1.202,1.109,0.984,0.922,0.936,0.954,0.839,0.763,0.689,0.725,0.728,0.711,0.66,0.61,0.436,0.241,0.061,-0.106,-0.15,-0.199,-0.165,-0.302,-0.396,-0.499,-0.529,-0.519,-0.481,-0.407,-0.268,-0.223,-0.218,-0.186,-0.206,-0.318,-0.397,-0.441,-0.584,-0.632,-0.689,-0.504,-0.453,-0.47,-0.583,-0.817
35,0,SAL,0.079,0.226,0.099,-0.061,-0.06,-0.027,0.124,0.048,0.041,-0.005,-0.001,-0.12,-0.076,-0.022,0.097,-0.001,0.346,0.763,1.276,1.578,1.679,1.892,1.783,1.605,1.438,1.471,1.387,1.391,1.286,1.185,1.171,1.244,1.208,1.139,0.993,1.08,1.057,0.949,0.83,0.811,0.776,0.757,0.69,0.591,0.54,0.43,0.402,0.383,0.293,0.187,0.02,-0.032,-0.116,-0.191,-0.333,-0.333,-0.382,-0.423,-0.46,-0.404,-0.438,-0.48,-0.608,-0.545,-0.516,-0.527,-0.649,-0.8,-0.8,-0.781,-0.786,-0.772,-0.871,-0.875,-0.872,-0.749,-0.778,-0.834,-1.048,-1.265
36,0,SAL,0.068,0.193,0.075,-0.006,-0.066,0.059,0.081,0.062,0.055,0.003,-0.082,-0.162,-0.119,0.019,0.151,0.164,0.481,1.147,1.761,2.155,2.259,2.482,2.316,2.099,1.863,1.783,1.661,1.599,1.533,1.381,1.351,1.282,1.297,1.282,1.202,1.274,1.211,1.192,1.112,1.087,1.021,0.935,0.888,0.857,0.748,0.778,0.665,0.734,0.686,0.653,0.525,0.423,0.326,0.272,0.151,0.104,0.064,0.074,0.018,0.068,0.006,0.04,-0.01,-0.029,-0.06,-0.023,0.013,0.072,0.037,0.004,-0.08,-0.162,-0.304,-0.301,-0.29,-0.26,-0.357,-0.397,-0.403,-0.337
38,0,SAL,-0.572,-0.374,0.222,0.374,0.397,0.451,0.404,0.249,0.112,-0.055,-0.275,-0.31,-0.304,-0.317,-0.352,-0.533,-0.447,-0.22,0.151,0.308,0.451,0.85,1.008,0.988,0.912,0.958,1.016,1.001,0.944,0.798,0.769,0.823,0.73,0.652,0.602,0.66,0.62,0.632,0.551,0.485,0.384,0.278,0.297,0.39,0.402,0.259,0.064,0.046,-0.073,-0.197,-0.463,-0.668,-0.883,-1.036,-1.083,-1.138,-1.151,-1.205,-1.213,-1.171,-1.203,-1.196,-1.307,-1.346,-1.375,-1.359,-1.373,-1.425,-1.514,-1.462,-1.402,-1.414,-1.445,-1.474,-1.448,-1.381,-1.399,-1.454,-1.682,-1.813
42,0,SAL,-0.17,-0.112,-0.033,0.03,0.066,0.181,0.21,0.212,0.137,-0.014,-0.114,-0.249,-0.14,-0.169,-0.12,-0.174,0.2,1.048,1.605,2.103,2.45,2.643,2.098,1.458,1.09,0.884,0.664,0.488,0.401,0.469,0.396,0.323,0.336,0.37,0.294,0.271,0.171,0.237,0.228,0.268,0.091,-0.053,-0.078,-0.104,-0.096,-0.125,-0.157,-0.084,-0.168,-0.182,-0.153,-0.137,-0.163,-0.093,-0.027,-0.028,-0.109,-0.188,-0.175,-0.218,-0.255,-0.299,-0.431,-0.505,-0.582,-0.591,-0.58,-0.636,-0.661,-0.664,-0.596,-0.55,-0.521,-0.569,-0.556,-0.556,-0.679,-0.716,-0.793,-0.847
47,0,SAL,-0.685,-0.435,0.113,0.412,0.537,0.574,0.557,0.29,0.07,-0.086,-0.201,-0.413,-0.45,-0.445,-0.435,-0.488,-0.119,1.444,2.456,3.098,3.505,3.471,3.058,2.338,1.884,1.474,1.291,1.131,1.108,1.098,0.853,0.682,0.535,0.584,0.596,0.633,0.571,0.455,0.307,0.297,0.213,0.255,0.244,0.25,0.19,0.132,0.174,0.269,0.177,-0.026,-0.24,-0.334,-0.362,-0.407,-0.372,-0.387,-0.226,-0.379,-0.338,-0.485,-0.538,-0.683,-0.721,-0.724,-0.712,-0.729,-0.856,-0.861,-0.856,-0.814,-0.81,-0.759,-0.811,-0.843,-0.812,-0.817,-0.813,-0.872,-0.874,-0.808
48,0,SAL,0.772,1.247,0.129,-0.584,-0.757,-0.877,-0.582,-0.434,-0.084,-0.061,0.242,0.454,0.568,0.643,0.888,0.995,1.057,1.173,1.169,1.228,1.273,1.35,1.337,1.176,1.007,0.982,1.138,1.518,1.903,2.013,1.831,1.749,1.727,1.818,1.784,1.891,1.933,2.002,1.971,2.078,2.094,2.285,2.344,2.472,2.23,1.888,1.722,1.746,1.901,1.825,1.802,1.711,1.81,1.879,1.896,1.828,1.65,1.472,1.349,1.05,1.052,0.881,1.073,1.148,1.245,1.107,1.083,1.244,1.128,1.26,1.506,1.875,1.753,1.441,1.237,1.431,1.496,1.478,1.102,0.877
